SpatialDim,TimeDim,NumericValue
DEU,2010,765783.9
DEU,2011,760359.5
DEU,2012,777907.8
DEU,2013,825544.5
DEU,2014,802347.6
DEU,2015,845718.5
DEU,2016,843344.2
DEU,2017,868862.7
DEU,2018,892975.0
DEU,2019,765893.6
DJI,2000,2010.35
DJI,2001,2047.776
DJI,2002,2129.267
DJI,2003,2198.293
DJI,2004,2267.734
DJI,2005,2298.71
DJI,2006,2372.629
DJI,2007,2442.893
DJI,2008,2519.506
DJI,2009,2622.787
DJI,2010,2755.204
DJI,2011,2866.805
DJI,2012,2968.578
DJI,2013,3107.895
DJI,2014,3199.028
DJI,2015,3260.85
DJI,2016,3402.301
DJI,2017,3559.461
DJI,2018,3668.542
DJI,2019,3763.838
DNK,2000,51779.7
DNK,2001,53017.67
DNK,2002,53477.11
DNK,2003,52352.25
DNK,2004,50624.5
DNK,2005,49316.79
DNK,2006,50034.56
DNK,2007,49940.86
DNK,2008,49336.36
DNK,2009,49497.26
DNK,2010,48908.84
DNK,2011,47546.52
DNK,2012,47523.6
DNK,2013,47580.69
DNK,2014,46518.55
DNK,2015,47229.9
DNK,2016,47803.46
DNK,2017,48017.95
DNK,2018,49411.19
DNK,2019,48372.81
DOM,2000,20604.94
DOM,2001,20945.7
DOM,2002,21949.4
DOM,2003,23792.62
DOM,2004,25416.57
DOM,2005,27220.14
DOM,2006,29137.03
DOM,2007,30636.6
DOM,2008,31964.97
DOM,2009,33621.2
DOM,2010,34450.11
DOM,2011,36580.73
DOM,2012,39704.8
DOM,2013,43040.86
DOM,2014,47067.83
DOM,2015,50192.5
DOM,2016,52179.78
DOM,2017,52398.31
DOM,2018,52391.7
DOM,2019,52408.74
DZA,2000,94757.45
DZA,2001,97816.41
DZA,2002,100335.6
DZA,2003,100577.7
DZA,2004,102960.7
DZA,2005,104369.3
DZA,2006,107377.4
DZA,2007,110072.0
DZA,2008,112777.7
DZA,2009,115625.1
DZA,2010,118142.6
DZA,2011,122461.6
DZA,2012,126712.9
DZA,2013,131086.2
DZA,2014,135499.3
DZA,2015,139929.7
DZA,2016,144778.9
DZA,2017,149949.1
DZA,2018,156028.1
DZA,2019,161330.1
ECU,2000,36217.66
ECU,2001,37688.73
ECU,2002,41331.3
ECU,2003,42695.03
ECU,2004,45407.79
ECU,2005,48557.44
ECU,2006,50118.13
ECU,2007,50570.86
ECU,2008,52569.27
ECU,2009,52231.04
ECU,2010,53895.53
ECU,2011,54785.5
ECU,2012,56560.08
ECU,2013,56147.46
ECU,2014,55548.09
ECU,2015,57163.54
ECU,2016,59028.12
ECU,2017,60710.58
ECU,2018,60636.46
ECU,2019,61101.7
EGY,2000,301455.4
EGY,2001,323931.7
EGY,2002,337636.7
EGY,2003,355516.8
EGY,2004,356393.4
EGY,2005,358155.5
EGY,2006,368156.9
EGY,2007,376102.8
EGY,2008,388814.2
EGY,2009,401472.0
EGY,2010,412936.7
EGY,2011,416928.9
EGY,2012,447487.0
EGY,2013,433678.2
EGY,2014,450797.8
EGY,2015,487677.0
EGY,2016,476766.9
EGY,2017,469088.1
EGY,2018,483033.8
EGY,2019,492479.3
EMR,2000,1792260.0
EMR,2001,1855743.0
EMR,2002,1910044.0
EMR,2003,1966998.0
EMR,2004,2001323.0
EMR,2005,2032917.0
EMR,2006,2093936.0
EMR,2007,2146738.0
EMR,2008,2199908.0
EMR,2009,2244087.0
EMR,2010,2283502.0
EMR,2011,2336126.0
EMR,2012,2415353.0
EMR,2013,2463812.0
EMR,2014,2524909.0
EMR,2015,2605295.0
EMR,2016,2656413.0
EMR,2017,2707556.0
EMR,2018,2765754.0
EMR,2019,2825741.0
ERI,2000,10131.97
ERI,2001,10225.78
ERI,2002,10557.11
ERI,2003,10615.75
ERI,2004,11094.92
ERI,2005,11435.3
ERI,2006,11848.27
ERI,2007,12080.65
ERI,2008,12482.2
ERI,2009,12538.8
ERI,2010,12580.28
ERI,2011,12750.55
ERI,2012,12850.9
ERI,2013,12998.61
ERI,2014,13056.42
ERI,2015,13162.51
ERI,2016,13361.4
ERI,2017,13446.44
ERI,2018,13664.18
ERI,2019,13742.62
ESP,2000,329634.2
ESP,2001,332861.6
ESP,2002,339866.1
ESP,2003,354015.1
ESP,2004,340621.6
ESP,2005,351462.3
ESP,2006,341621.4
ESP,2007,355702.0
ESP,2008,357448.1
ESP,2009,357448.3
ESP,2010,355620.1
ESP,2011,364871.9
ESP,2012,374806.2
ESP,2013,362727.5
ESP,2014,366485.3
ESP,2015,390067.4
ESP,2016,376160.2
ESP,2017,395052.3
ESP,2018,387133.7
ESP,2019,387347.8
EST,2000,16081.29
EST,2001,16161.84
EST,2002,16309.04
EST,2003,16208.41
EST,2004,15811.3
EST,2005,15544.81
EST,2006,15680.27
EST,2007,15816.4
EST,2008,15317.37
EST,2009,14749.78
EST,2010,14507.98
EST,2011,14028.85
EST,2012,14248.62
EST,2013,14223.15
EST,2014,14317.43
EST,2015,14146.1
EST,2016,14353.83
EST,2017,14296.26
EST,2018,14390.74
EST,2019,14001.13
ETH,2000,220677.7
ETH,2001,219608.4
ETH,2002,218978.3
ETH,2003,219161.7
ETH,2004,219018.3
ETH,2005,219629.9
ETH,2006,221401.6
ETH,2007,225045.2
ETH,2008,226865.0
ETH,2009,226193.8
ETH,2010,227161.0
ETH,2011,230207.1
ETH,2012,230003.9
ETH,2013,231902.3
ETH,2014,235297.1
ETH,2015,243138.0
ETH,2016,250553.7
ETH,2017,257144.2
ETH,2018,264467.3
ETH,2019,271290.5
EUR,2000,8030801.0
EUR,2001,8087829.0
EUR,2002,8271695.0
EUR,2003,8442896.0
EUR,2004,8153154.0
EUR,2005,8206907.0
EUR,2006,8067779.0
EUR,2007,8080690.0
EUR,2008,8133543.0
EUR,2009,8063428.0
EUR,2010,8077117.0
EUR,2011,7991139.0
EUR,2012,8131524.0
EUR,2013,8102494.0
